TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
20640,2,6,Chenopodium oahuense,0.5,2,25.0,21.85,18.72,0.01,2000.0,,29.0,0.6,8000.0,8000.0,0,1,0,1,0,alaweo
20646,5,8,Salicornia spp.,,1,25.0,,,0.01,1000.0,,,,8000.0,8000.0,0,0,1,0,0,pickleweed
20651,5,8,Salicornia rubra,,1,25.0,,,,1000.0,,,,8000.0,8000.0,0,0,1,0,0,red swampfire
20655,5,12,Salsola kali,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,Russian thistle
20659,5,8,Suaeda spp.,0.5,1,25.0,25.0,18.72,,1000.0,,13.0,0.6,8000.0,8000.0,0,1,1,1,0,seepweed
20669,2,7,Suaeda nigra,0.5,1,25.0,25.0,18.72,,3000.0,,13.0,0.6,8000.0,8000.0,0,1,1,1,0,Mojave seablite
20671,5,8,Suaeda occidentalis,,1,25.0,,,,1000.0,,,,8000.0,8000.0,0,0,1,0,0,Pursh seepweed
20677,2,7,Allenrolfea occidentalis,0.5,2,25.0,25.0,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,iodinebush
20681,5,13,Beta vulgaris,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,common beet
20690,2,7,Grayia spinosa,0.5,2,25.0,25.0,18.72,,3000.0,,14.0,0.6,8000.0,8000.0,0,1,0,1,0,spiny hopsage
20691,5,12,Halogeton spp.,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,saltlover
